Learning order,Order metric
[15; 11; 7; 4; 12; 3; 14; 13; 10; 8; 5; 9; 2; 1; 6],  -50.0
[6; 7; 8; 5; 4; 11; 10; 2; 3; 9; 15; 13; 1; 14; 12],  -74.0
[11; 13; 7; 12; 8; 4; 6; 5; 9; 15; 10; 14; 1; 2; 3],  -80.0
[14; 1; 15; 10; 6; 2; 13; 11; 12; 3; 5; 8; 4; 9; 7],  -44.0
[8; 4; 2; 15; 5; 1; 14; 10; 12; 6; 13; 9; 7; 3; 11],  -74.0
[8; 15; 13; 3; 11; 12; 1; 9; 2; 10; 5; 6; 4; 7; 14],  -80.0
[8; 10; 6; 4; 13; 7; 5; 9; 15; 14; 3; 2; 1; 11; 12],  -74.0
[3; 10; 5; 8; 9; 4; 12; 1; 15; 2; 14; 11; 7; 6; 13],  -144.0
[6; 11; 1; 8; 5; 7; 10; 3; 15; 13; 4; 14; 12; 2; 9],  -74.0
[1; 6; 12; 5; 3; 11; 10; 9; 15; 2; 7; 8; 13; 4; 14],  -74.0
[8; 7; 10; 5; 12; 6; 9; 2; 15; 13; 3; 14; 1; 4; 11],  -80.0
[12; 9; 2; 15; 7; 8; 13; 3; 1; 4; 11; 6; 14; 10; 5],  -38.0
[15; 7; 13; 11; 6; 8; 3; 9; 1; 2; 10; 14; 12; 5; 4],  -50.0
[4; 9; 10; 6; 11; 2; 13; 3; 5; 14; 12; 7; 8; 15; 1],  -74.0
[13; 4; 3; 1; 8; 10; 2; 14; 5; 9; 15; 6; 11; 7; 12],  -50.0
[13; 1; 11; 15; 14; 3; 8; 12; 10; 6; 9; 4; 2; 7; 5],  -50.0
[15; 3; 9; 14; 2; 11; 1; 13; 6; 10; 12; 8; 5; 4; 7],  -74.0
[2; 13; 4; 14; 8; 7; 5; 6; 1; 12; 11; 15; 3; 10; 9],  -54.0
[15; 13; 6; 4; 10; 12; 5; 1; 8; 11; 2; 3; 9; 7; 14],  -44.0
[9; 8; 12; 15; 2; 10; 13; 3; 5; 11; 4; 7; 1; 14; 6],  -62.0
[8; 2; 15; 9; 11; 10; 13; 14; 12; 3; 4; 1; 5; 6; 7],  -74.0
[8; 1; 6; 7; 9; 10; 5; 2; 3; 11; 4; 12; 15; 13; 14],  -74.0
[15; 10; 5; 9; 8; 2; 3; 4; 11; 1; 13; 6; 14; 7; 12],  -44.0
[4; 14; 11; 10; 13; 9; 5; 1; 15; 8; 12; 3; 6; 2; 7],  -74.0
[2; 13; 1; 7; 4; 14; 12; 5; 9; 15; 6; 8; 3; 11; 10],  -54.0
[12; 5; 7; 8; 10; 9; 13; 2; 15; 1; 4; 11; 3; 6; 14],  -38.0
[3; 13; 14; 9; 2; 5; 6; 7; 8; 1; 11; 4; 15; 12; 10],  -144.0
[11; 14; 13; 15; 7; 1; 5; 4; 9; 3; 2; 6; 8; 10; 12],  -80.0
[7; 11; 14; 15; 1; 4; 8; 6; 9; 5; 10; 12; 3; 13; 2],  -74.0
[14; 2; 12; 5; 11; 13; 15; 9; 1; 8; 3; 6; 4; 7; 10],  -54.0
[9; 3; 7; 6; 5; 13; 2; 11; 12; 10; 15; 4; 8; 14; 1],  -74.0
[14; 12; 8; 5; 4; 6; 3; 7; 2; 1; 13; 11; 15; 10; 9],  -54.0
[2; 9; 11; 13; 14; 5; 1; 7; 6; 3; 12; 4; 10; 15; 8],  -54.0
[13; 14; 4; 8; 5; 10; 2; 12; 1; 7; 15; 9; 3; 11; 6],  -44.0
[11; 15; 5; 2; 9; 7; 3; 10; 6; 13; 4; 14; 8; 1; 12],  -74.0
[15; 9; 7; 3; 4; 6; 10; 5; 14; 11; 8; 13; 2; 12; 1],  -44.0
[4; 5; 1; 12; 15; 8; 10; 11; 7; 13; 6; 14; 2; 9; 3],  -72.0
[12; 7; 13; 3; 5; 1; 2; 14; 10; 8; 4; 9; 6; 11; 15],  -38.0
