Learning order,PL* rounds,PL* MQ resets,PL* MQ input symbols,PL* EQ resets,PL* EQ input symbols,PL* total resets,PL* total input symbols,Non-adaptive rounds,Non-adaptive MQ resets,Non-adaptive MQ input symbols,Non-adaptive EQ resets,Non-adaptive EQ input symbols,Non-adaptive total resets,Non-adaptive total input symbols
[5; 6; 8; 12; 11; 1; 7; 15; 3; 2; 13; 4; 14; 9; 10], 17, 79863, 439676, 3772879, 24623501, 3852742, 25063177,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[1; 5; 2; 3; 15; 8; 6; 10; 11; 7; 4; 9; 12; 14; 13], 16, 77271, 424490, 3639633, 23728991, 3716904, 24153481,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[7; 3; 15; 10; 14; 5; 4; 8; 2; 9; 12; 11; 6; 13; 1], 20, 80678, 444919, 3703900, 24195718, 3784578, 24640637,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[14; 15; 13; 12; 7; 11; 1; 2; 10; 5; 8; 9; 3; 6; 4], 16, 77837, 428408, 3603682, 23503209, 3681519, 23931617,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[11; 1; 15; 9; 13; 3; 8; 6; 2; 4; 5; 14; 10; 7; 12], 17, 77180, 422277, 3721271, 24256643, 3798451, 24678920,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[8; 6; 7; 15; 14; 4; 2; 13; 1; 3; 9; 12; 5; 11; 10], 20, 79095, 434501, 3816238, 24900174, 3895333, 25334675,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[5; 10; 6; 11; 1; 13; 3; 9; 4; 15; 7; 8; 12; 2; 14], 17, 77626, 426928, 3733656, 24379775, 3811282, 24806703,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[6; 12; 5; 1; 11; 9; 7; 15; 10; 13; 4; 14; 8; 2; 3], 18, 80713, 445001, 3833488, 25027246, 3914201, 25472247,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[7; 8; 9; 2; 11; 14; 1; 15; 10; 12; 6; 3; 13; 5; 4], 18, 78703, 433346, 3680118, 23995574, 3758821, 24428920,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[4; 10; 6; 7; 15; 5; 8; 3; 13; 14; 2; 11; 1; 12; 9], 20, 80017, 440447, 3821666, 24912464, 3901683, 25352911,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[13; 6; 8; 1; 2; 7; 4; 14; 5; 10; 15; 12; 11; 3; 9], 18, 79508, 437426, 3776362, 24678307, 3855870, 25115733,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[13; 7; 3; 15; 6; 14; 4; 1; 9; 5; 11; 12; 8; 2; 10], 18, 80246, 443826, 3698567, 24101702, 3778813, 24545528,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[10; 9; 15; 14; 1; 13; 7; 5; 8; 4; 6; 11; 2; 12; 3], 16, 77703, 427653, 3672419, 23958965, 3750122, 24386618,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[6; 10; 4; 1; 5; 14; 12; 13; 7; 2; 11; 9; 8; 3; 15], 17, 78416, 430364, 3749333, 24434883, 3827749, 24865247,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[9; 4; 1; 15; 7; 8; 14; 2; 12; 3; 13; 11; 10; 6; 5], 18, 79814, 439007, 3678154, 23982068, 3757968, 24421075,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[3; 4; 7; 9; 2; 10; 15; 5; 12; 11; 13; 8; 1; 6; 14], 19, 80593, 446814, 3819775, 24859379, 3900368, 25306193,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[1; 13; 10; 7; 9; 2; 11; 12; 6; 5; 15; 4; 14; 3; 8], 16, 78480, 430639, 3725567, 24344562, 3804047, 24775201,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[15; 5; 1; 6; 11; 13; 8; 7; 14; 12; 2; 4; 9; 3; 10], 17, 76052, 415269, 3635607, 23729089, 3711659, 24144358,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
