Learning order,PL* rounds,PL* MQ resets,PL* MQ input symbols,PL* EQ resets,PL* EQ input symbols,PL* total resets,PL* total input symbols,Non-adaptive rounds,Non-adaptive MQ resets,Non-adaptive MQ input symbols,Non-adaptive EQ resets,Non-adaptive EQ input symbols,Non-adaptive total resets,Non-adaptive total input symbols
[9; 16; 12; 7; 1; 15; 6; 14; 4; 13; 2; 3; 8; 11; 10; 5], 16, 720274, 5407380, 74809765, 717233122, 75530039, 722640502,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[6; 2; 4; 15; 10; 5; 1; 9; 14; 7; 3; 11; 12; 13; 8; 16], 18, 724118, 5396580, 77256214, 739792732, 77980332, 745189312,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[8; 11; 15; 7; 6; 12; 4; 13; 10; 5; 16; 1; 2; 3; 9; 14], 16, 693126, 5173474, 74327904, 711878491, 75021030, 717051965,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[14; 2; 13; 12; 9; 3; 5; 8; 7; 16; 15; 6; 1; 11; 10; 4], 16, 711588, 5437162, 75122920, 719031591, 75834508, 724468753,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[7; 9; 3; 4; 14; 6; 15; 1; 2; 8; 5; 10; 12; 13; 16; 11], 18, 749418, 5626784, 75515546, 723046385, 76264964, 728673169,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[9; 7; 16; 11; 8; 10; 1; 5; 6; 12; 2; 14; 15; 4; 3; 13], 18, 772103, 6129464, 76329533, 731965899, 77101636, 738095363,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[11; 14; 6; 3; 8; 5; 1; 13; 4; 9; 2; 15; 10; 7; 16; 12], 16, 720596, 5383579, 75747558, 725917579, 76468154, 731301158,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[6; 4; 3; 1; 9; 15; 13; 10; 16; 11; 7; 5; 14; 2; 12; 8], 18, 743558, 5546186, 76675902, 733751088, 77419460, 739297274,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[16; 15; 14; 11; 6; 2; 10; 9; 3; 4; 13; 1; 8; 5; 12; 7], 16, 705250, 5296502, 77880209, 746994911, 78585459, 752291413,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[15; 16; 8; 14; 4; 3; 2; 12; 13; 6; 9; 11; 7; 10; 1; 5], 16, 724978, 5668066, 78163858, 750812364, 78888836, 756480430,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[3; 11; 8; 1; 2; 9; 13; 16; 4; 12; 10; 7; 6; 5; 15; 14], 16, 749556, 5983758, 76794474, 737902911, 77544030, 743886669,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[11; 9; 14; 6; 10; 3; 15; 13; 8; 16; 1; 12; 2; 5; 4; 7], 16, 726584, 5667180, 75439080, 722984425, 76165664, 728651605,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[2; 14; 7; 8; 1; 3; 16; 4; 5; 13; 9; 6; 10; 15; 11; 12], 18, 747568, 5707082, 76880431, 736307101, 77627999, 742014183,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[3; 4; 11; 7; 14; 12; 15; 6; 13; 5; 8; 9; 10; 2; 16; 1], 16, 758294, 5965406, 75830710, 726331010, 76589004, 732296416,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[4; 16; 15; 6; 12; 11; 2; 8; 9; 13; 14; 10; 5; 7; 3; 1], 18, 726152, 5470727, 76605117, 731884531, 77331269, 737355258,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[2; 10; 15; 11; 4; 6; 5; 9; 3; 12; 1; 13; 16; 7; 8; 14], 18, 796443, 6118519, 77114219, 737424126, 77910662, 743542645,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[14; 2; 7; 11; 13; 8; 9; 15; 4; 10; 1; 12; 16; 3; 5; 6], 18, 748230, 5882529, 75759948, 725734209, 76508178, 731616738,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[16; 3; 14; 6; 12; 15; 5; 11; 9; 8; 10; 2; 7; 1; 13; 4], 16, 720804, 5642326, 75639588, 723818356, 76360392, 729460682,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[16; 4; 7; 3; 10; 14; 12; 9; 6; 8; 5; 11; 13; 15; 2; 1], 18, 799207, 6029364, 74858675, 717942001, 75657882, 723971365,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[11; 7; 10; 6; 15; 13; 16; 3; 12; 8; 14; 2; 5; 9; 4; 1], 18, 782370, 6071406, 75025156, 718772177, 75807526, 724843583,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[3; 1; 16; 14; 12; 6; 5; 10; 2; 11; 7; 9; 8; 15; 13; 4], 16, 744126, 5624358, 77116575, 738614947, 77860701, 744239305,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[7; 15; 5; 8; 1; 16; 6; 13; 10; 9; 14; 3; 4; 11; 2; 12], 18, 705682, 5271448, 75391305, 721983959, 76096987, 727255407,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[16; 9; 4; 10; 12; 11; 1; 14; 15; 3; 5; 6; 8; 7; 13; 2], 16, 801166, 6191704, 74226537, 710472578, 75027703, 716664282,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[13; 12; 4; 11; 9; 16; 14; 3; 7; 10; 15; 8; 1; 5; 2; 6], 16, 800324, 6159154, 77067256, 738465133, 77867580, 744624287,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[1; 13; 8; 11; 6; 2; 12; 4; 15; 16; 10; 5; 7; 9; 14; 3], 16, 701696, 5492790, 75483278, 722757091, 76184974, 728249881,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[5; 4; 1; 7; 16; 13; 8; 15; 12; 10; 14; 11; 3; 6; 2; 9], 16, 798598, 6345494, 79143872, 759934415, 79942470, 766279909,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[8; 2; 7; 1; 9; 15; 10; 6; 13; 16; 11; 14; 5; 4; 3; 12], 18, 775318, 5878844, 75836791, 726750408, 76612109, 732629252,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[8; 1; 14; 11; 2; 7; 12; 9; 16; 5; 10; 13; 15; 6; 4; 3], 16, 752118, 5974340, 76276911, 730901959, 77029029, 736876299,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[3; 16; 2; 11; 1; 7; 9; 8; 6; 4; 12; 13; 15; 5; 14; 10], 16, 681874, 5184328, 74897245, 716622951, 75579119, 721807279,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[1; 4; 2; 12; 7; 8; 13; 15; 9; 6; 16; 10; 3; 5; 14; 11], 16, 723800, 5768262, 76979500, 739760897, 77703300, 745529159,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[9; 14; 8; 13; 16; 5; 11; 12; 10; 6; 7; 2; 4; 1; 3; 15], 16, 776114, 6129462, 76398212, 731965888, 77174326, 738095350,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[10; 12; 1; 16; 4; 15; 9; 13; 8; 11; 6; 14; 5; 3; 7; 2], 18, 818402, 6104016, 80693500, 770136993, 81511902, 776241009,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[12; 1; 13; 4; 2; 5; 9; 11; 10; 3; 15; 14; 8; 6; 16; 7], 16, 784140, 6117240, 77831082, 746776625, 78615222, 752893865,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[1; 5; 13; 3; 4; 2; 16; 8; 9; 7; 15; 11; 14; 12; 10; 6], 16, 778622, 6075576, 79168373, 761008160, 79946995, 767083736,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[11; 6; 3; 5; 15; 8; 1; 7; 16; 2; 9; 4; 10; 14; 12; 13], 18, 673506, 5046793, 76200532, 732082839, 76874038, 737129632,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[8; 3; 16; 11; 5; 13; 15; 1; 14; 7; 12; 10; 9; 4; 2; 6], 16, 758006, 6003784, 76727788, 734978688, 77485794, 740982472,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[5; 15; 8; 9; 1; 3; 16; 4; 11; 14; 12; 6; 7; 10; 2; 13], 16, 723034, 5536918, 76760558, 737442413, 77483592, 742979331,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[5; 2; 13; 3; 1; 8; 6; 10; 14; 11; 15; 7; 4; 9; 16; 12], 16, 709432, 5938887, 75232172, 720541663, 75941604, 726480550,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[14; 4; 3; 1; 15; 5; 11; 13; 7; 2; 16; 9; 10; 8; 12; 6], 16, 792768, 5924718, 75790026, 727129465, 76582794, 733054183,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[9; 14; 8; 6; 13; 16; 4; 3; 2; 7; 11; 12; 1; 10; 15; 5], 18, 736882, 5617732, 77239100, 740839683, 77975982, 746457415,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[16; 7; 12; 13; 6; 2; 11; 10; 15; 5; 3; 4; 14; 9; 8; 1], 18, 700636, 5325425, 76791968, 736380438, 77492604, 741705863,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[8; 12; 10; 1; 2; 5; 6; 7; 4; 15; 3; 9; 16; 13; 14; 11], 16, 809212, 6366914, 76427498, 733557885, 77236710, 739924799,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[5; 12; 10; 14; 15; 9; 2; 7; 4; 16; 1; 6; 11; 3; 8; 13], 16, 812800, 6083890, 75972385, 728251450, 76785185, 734335340,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[5; 2; 13; 14; 8; 9; 10; 11; 3; 7; 6; 12; 4; 16; 15; 1], 18, 785617, 6030694, 78695517, 754029671, 79481134, 760060365,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[5; 8; 4; 11; 12; 2; 16; 15; 3; 6; 14; 1; 10; 13; 9; 7], 16, 713122, 5351040, 75082622, 719224985, 75795744, 724576025,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[10; 9; 8; 3; 11; 5; 14; 4; 16; 12; 15; 7; 1; 13; 2; 6], 18, 818402, 6104016, 81240581, 775682144, 82058983, 781786160,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[11; 13; 3; 9; 12; 2; 7; 6; 16; 1; 10; 5; 14; 8; 4; 15], 16, 699004, 5330978, 75649601, 724556930, 76348605, 729887908,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[2; 6; 3; 16; 1; 7; 8; 4; 14; 10; 11; 9; 15; 12; 13; 5], 18, 699786, 5254571, 76062537, 728000755, 76762323, 733255326,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[9; 16; 3; 6; 12; 4; 13; 7; 14; 10; 1; 11; 5; 8; 15; 2], 16, 735738, 5788966, 75340103, 720931037, 76075841, 726720003,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[15; 6; 14; 7; 12; 1; 4; 2; 13; 5; 9; 8; 10; 3; 11; 16], 18, 721495, 5573839, 76089253, 727493323, 76810748, 733067162,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[14; 9; 6; 10; 15; 11; 8; 12; 2; 4; 5; 13; 3; 1; 16; 7], 18, 752097, 6103916, 74411417, 710620521, 75163514, 716724437,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[9; 4; 7; 10; 12; 3; 2; 8; 1; 11; 16; 6; 15; 14; 5; 13], 16, 807344, 6041174, 75213165, 720712481, 76020509, 726753655,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[12; 13; 3; 6; 4; 14; 9; 11; 10; 2; 1; 7; 8; 15; 16; 5], 16, 749494, 5729416, 77769925, 745172015, 78519419, 750901431,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[16; 2; 9; 1; 13; 15; 4; 10; 11; 6; 7; 8; 3; 12; 5; 14], 16, 770116, 5976718, 75822823, 727961376, 76592939, 733938094,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
